EDT,variable,value
2012-04-12, Max Wind SpeedMPH,12
2012-04-12,Min TemperatureF,28
2012-04-12,Min DewpointF,24
2012-04-12, CloudCover,0
2012-04-12,PrecipitationIn,0.00
2012-04-12, Mean VisibilityMiles,10
2012-04-12, Min VisibilityMiles,10
2012-04-12,MeanDew PointF,28
2012-04-12, Mean Sea Level PressureIn,30.23
2012-04-12, Min Sea Level PressureIn,30.15
2012-04-12, WindDirDegrees,247
2012-04-12, Mean Humidity,59
2012-04-13, Max Wind SpeedMPH,17
2012-04-13,Max TemperatureF,64
2012-04-13, Max Gust SpeedMPH,22.0
2012-04-13, Min Sea Level PressureIn,30.1
2012-04-13,Min DewpointF,28
2012-04-13, Mean Sea Level PressureIn,30.18
2012-04-13, Max VisibilityMiles,10
2012-04-13,MeanDew PointF,33
2012-04-13, WindDirDegrees,161
2012-04-13,Mean TemperatureF,48
2012-04-13,PrecipitationIn,T
2012-04-13, Mean Wind SpeedMPH,5
2012-04-13, Max Sea Level PressureIn,30.22
2012-04-13, Mean VisibilityMiles,10
2012-04-13, Min Humidity,28
2012-04-13,Max Humidity,89
2012-04-13,Min TemperatureF,32
2012-04-13,Max Dew PointF,40
2012-04-13, Min VisibilityMiles,10
2012-04-13, CloudCover,2
2012-04-13, Mean Humidity,59
2012-04-14, Min Humidity,51
2012-04-14, Mean Wind SpeedMPH,7
2012-04-14,Max Dew PointF,59
2012-04-14, WindDirDegrees,176
2012-04-14,Mean TemperatureF,59
2012-04-14, CloudCover,7
2012-04-14, Max Gust SpeedMPH,25.0
2012-04-14, Min Sea Level PressureIn,29.91
2012-04-14, Mean VisibilityMiles,5
2012-04-14, Max VisibilityMiles,10
2012-04-14, Mean Humidity,76
2012-04-14, Max Wind SpeedMPH,18
2012-04-14,Min DewpointF,38
2012-04-14,Min TemperatureF,50
2012-04-14,PrecipitationIn,1.45
2012-04-14,Max TemperatureF,67
2012-04-14, Mean Sea Level PressureIn,30.03
2012-04-14,MeanDew PointF,52
2012-04-14, Max Sea Level PressureIn,30.1
2012-04-14,Max Humidity,100
2012-04-14, Events,Rain-Thunderstorm
2012-04-15, Max Gust SpeedMPH,38.0
2012-04-15,MeanDew PointF,56
2012-04-15, Mean VisibilityMiles,10
2012-04-15, Max VisibilityMiles,10
2012-04-15, Max Wind SpeedMPH,26
2012-04-15, Mean Sea Level PressureIn,29.88
2012-04-15,Max Dew PointF,57
2012-04-15,PrecipitationIn,0.00
2012-04-15, Min VisibilityMiles,9
2012-04-15,Max TemperatureF,79
2012-04-15, WindDirDegrees,196
2012-04-15, Mean Wind SpeedMPH,15
2012-04-15, Mean Humidity,60
2012-04-15, Min Humidity,47
2012-04-15, Min Sea Level PressureIn,29.79
2012-04-15,Mean TemperatureF,72
2012-04-15,Min DewpointF,52
2012-04-15,Min TemperatureF,64
2012-04-15, Max Sea Level PressureIn,29.96
2012-04-15,Max Humidity,73
2012-04-16, Max Gust SpeedMPH,43.0
2012-04-16, WindDirDegrees,233
2012-04-16,Mean TemperatureF,61
2012-04-16, Events,Rain
2012-04-16,Max TemperatureF,73
2012-04-16,Min TemperatureF,48
2012-04-16,PrecipitationIn,0.38
2012-04-16, Min Sea Level PressureIn,29.73
2012-04-16,Min DewpointF,43
2012-04-16,Max Humidity,97
2012-04-16, Min Humidity,52
2012-04-16, Mean Sea Level PressureIn,29.94
2012-04-16, Max VisibilityMiles,10
2012-04-16, Mean VisibilityMiles,9
2012-04-16, Max Sea Level PressureIn,30.23
2012-04-16, Mean Humidity,75
2012-04-16, Mean Wind SpeedMPH,12
2012-04-16, Max Wind SpeedMPH,30
2012-04-16, Min VisibilityMiles,4
2012-04-16, CloudCover,5
2012-04-16,MeanDew PointF,52
2012-04-16,Max Dew PointF,62
2012-04-17,Min TemperatureF,40
2012-04-17, Min Humidity,42
2012-04-17,Max Humidity,100
2012-04-17, Max Sea Level PressureIn,30.37
2012-04-17, Max VisibilityMiles,10
2012-04-17, Min Sea Level PressureIn,30.25
2012-04-17, Max Gust SpeedMPH,15.0
2012-04-17,Max TemperatureF,66
2012-04-17,Mean TemperatureF,53
2012-04-17, Mean Wind SpeedMPH,2
2012-04-17, Mean Humidity,71
2012-04-17, CloudCover,0
2012-04-17, WindDirDegrees,24
2012-04-17, Min VisibilityMiles,2
2012-04-17,Max Dew PointF,47
2012-04-17,PrecipitationIn,0.00
2012-04-17, Max Wind SpeedMPH,10
2012-04-17, Mean Sea Level PressureIn,30.29
2012-04-17, Mean VisibilityMiles,8
2012-04-17,MeanDew PointF,43
2012-04-17,Min DewpointF,39
2012-04-18, CloudCover,0
2012-04-18, WindDirDegrees,36
2012-04-18,Min TemperatureF,37
2012-04-18,PrecipitationIn,0.00
2012-04-18, Max Sea Level PressureIn,30.27
2012-04-18,Max Humidity,100
2012-04-18, Max Wind SpeedMPH,10
2012-04-18, Max VisibilityMiles,10
2012-04-18, Min Sea Level PressureIn,30.05
2012-04-18, Max Gust SpeedMPH,13.0
2012-04-18, Min VisibilityMiles,2
2012-04-18,Mean TemperatureF,54
2012-04-18,Max TemperatureF,71
2012-04-18, Mean VisibilityMiles,9
2012-04-18, Mean Sea Level PressureIn,30.17
2012-04-18,MeanDew PointF,40
2012-04-18, Mean Wind SpeedMPH,2
2012-04-18,Max Dew PointF,45
2012-04-18,Min DewpointF,36
2012-04-18, Mean Humidity,66
2012-04-18, Min Humidity,31
2012-04-19,Mean TemperatureF,59
2012-04-19,Min TemperatureF,42
2012-04-19, Events,Rain
2012-04-19,Max Dew PointF,48
2012-04-19,Max Humidity,100
2012-04-19, Min Humidity,27
2012-04-19, Max Gust SpeedMPH,20.0
2012-04-19, Mean VisibilityMiles,10
2012-04-19, Max Sea Level PressureIn,30.06
2012-04-19, Mean Wind SpeedMPH,5
2012-04-19, Min VisibilityMiles,9
2012-04-19,PrecipitationIn,T
2012-04-19, WindDirDegrees,172
2012-04-19,MeanDew PointF,42
2012-04-19, CloudCover,0
2012-04-19, Mean Humidity,64
2012-04-19, Max VisibilityMiles,10
2012-04-19, Mean Sea Level PressureIn,29.98
2012-04-19,Min DewpointF,40
2012-04-19, Min Sea Level PressureIn,29.85
2012-04-19,Max TemperatureF,76
2012-04-19, Max Wind SpeedMPH,15
2012-04-20, Max Gust SpeedMPH,31.0
2012-04-20, Events,Rain
2012-04-20, Min VisibilityMiles,2
2012-04-20, Max Wind SpeedMPH,21
2012-04-20, Mean Humidity,70
2012-04-20, CloudCover,5
2012-04-20, WindDirDegrees,273
2012-04-20,Max TemperatureF,73
2012-04-20,Max Dew PointF,53
2012-04-20, Min Sea Level PressureIn,29.75
2012-04-20,Max Humidity,93
2012-04-20, Min Humidity,47
2012-04-20,Min DewpointF,41
2012-04-20, Mean Sea Level PressureIn,29.81
2012-04-20,PrecipitationIn,0.19
2012-04-20,MeanDew PointF,47
2012-04-20,Mean TemperatureF,58
2012-04-20, Mean VisibilityMiles,9
2012-04-20, Max Sea Level PressureIn,29.89
2012-04-20,Min TemperatureF,43
2012-04-20, Max VisibilityMiles,10
2012-04-20, Mean Wind SpeedMPH,9
2012-04-21,PrecipitationIn,0.00
2012-04-21, WindDirDegrees,6
2012-04-21, Max Gust SpeedMPH,22.0
2012-04-21, CloudCover,6
2012-04-21,MeanDew PointF,39
2012-04-21, Min VisibilityMiles,2
2012-04-21, Mean Humidity,78
2012-04-21, Mean Wind SpeedMPH,6
2012-04-21, Max VisibilityMiles,10
2012-04-21, Max Sea Level PressureIn,29.98
2012-04-21, Mean VisibilityMiles,9
2012-04-21, Mean Sea Level PressureIn,29.94
2012-04-21,Min DewpointF,37
2012-04-21, Min Humidity,59
2012-04-21,Max Humidity,96
2012-04-21, Min Sea Level PressureIn,29.89
2012-04-21,Max Dew PointF,41
2012-04-21,Max TemperatureF,54
2012-04-21,Min TemperatureF,40
2012-04-21,Mean TemperatureF,47
2012-04-21, Max Wind SpeedMPH,16
2012-04-22,MeanDew PointF,34
2012-04-22, WindDirDegrees,22
2012-04-22, Min Humidity,35
2012-04-22,Mean TemperatureF,48
2012-04-22,Max Humidity,100
2012-04-22, Mean VisibilityMiles,9
2012-04-22, Min VisibilityMiles,4
2012-04-22,Max TemperatureF,57
2012-04-22, Min Sea Level PressureIn,29.89
2012-04-22, Mean Humidity,68
2012-04-22,PrecipitationIn,0.00
2012-04-22,Min TemperatureF,38
2012-04-22, Max Wind SpeedMPH,22
2012-04-22, Max Sea Level PressureIn,29.97
2012-04-22, Mean Sea Level PressureIn,29.92
2012-04-22, Max VisibilityMiles,10
2012-04-22, Mean Wind SpeedMPH,8
2012-04-22,Max Dew PointF,40
2012-04-22, CloudCover,5
2012-04-22, Max Gust SpeedMPH,26.0
2012-04-22,Min DewpointF,28
2012-04-23,Min TemperatureF,35
2012-04-23, Max Gust SpeedMPH,35.0
2012-04-23, Max Wind SpeedMPH,26
2012-04-23,MeanDew PointF,25
2012-04-23, Max VisibilityMiles,10
2012-04-23, Mean Humidity,44
2012-04-23, Mean Wind SpeedMPH,8
2012-04-23, Min VisibilityMiles,10
2012-04-23, WindDirDegrees,336
2012-04-23, Max Sea Level PressureIn,29.96
2012-04-23, Min Humidity,23
2012-04-23,Max TemperatureF,60
2012-04-23,PrecipitationIn,0.00
2012-04-23, Mean VisibilityMiles,10
2012-04-23, Min Sea Level PressureIn,29.82
2012-04-23,Mean TemperatureF,48
2012-04-23,Max Humidity,64
2012-04-23, Mean Sea Level PressureIn,29.9
2012-04-23,Max Dew PointF,31
2012-04-23,Min DewpointF,20
2012-04-24, Max VisibilityMiles,10
2012-04-24, WindDirDegrees,271
2012-04-24, CloudCover,4
2012-04-24, Mean VisibilityMiles,10
2012-04-24, Min Humidity,27
2012-04-24,Min TemperatureF,35
2012-04-24, Min VisibilityMiles,10
2012-04-24, Mean Sea Level PressureIn,29.78
2012-04-24,MeanDew PointF,34
2012-04-24, Mean Wind SpeedMPH,6
2012-04-24,PrecipitationIn,T
2012-04-24, Max Gust SpeedMPH,21.0
2012-04-24, Min Sea Level PressureIn,29.74
2012-04-24,Max Humidity,83
2012-04-24, Max Wind SpeedMPH,15
2012-04-24,Max Dew PointF,47
2012-04-24,Max TemperatureF,64
2012-04-24,Min DewpointF,26
2012-04-24, Events,Rain
2012-04-24, Mean Humidity,55
2012-04-24, Max Sea Level PressureIn,29.84
2012-04-24,Mean TemperatureF,50
2012-04-25,Mean TemperatureF,60
2012-04-25,Max TemperatureF,73
2012-04-25, Min Sea Level PressureIn,29.63
2012-04-25, Mean Sea Level PressureIn,29.69
2012-04-25, Max VisibilityMiles,10
2012-04-25, WindDirDegrees,132
2012-04-25, Max Sea Level PressureIn,29.75
2012-04-25, Mean VisibilityMiles,8
2012-04-25, Min Humidity,53
2012-04-25, Events,Rain-Thunderstorm
2012-04-25,Min TemperatureF,47
2012-04-25, Min VisibilityMiles,2
2012-04-25, Mean Humidity,77
2012-04-25, CloudCover,2
2012-04-25,Max Dew PointF,61
2012-04-25, Max Wind SpeedMPH,16
2012-04-25,Max Humidity,100
2012-04-25, Mean Wind SpeedMPH,7
2012-04-25,PrecipitationIn,0.15
2012-04-25,Min DewpointF,46
2012-04-25,MeanDew PointF,53
2012-04-25, Max Gust SpeedMPH,21.0
2012-04-26, Min VisibilityMiles,7
2012-04-26,Mean TemperatureF,59
2012-04-26,PrecipitationIn,0.00
2012-04-26, Min Sea Level PressureIn,29.56
2012-04-26, Max Wind SpeedMPH,22
2012-04-26, Mean Wind SpeedMPH,12
2012-04-26, CloudCover,0
2012-04-26,Max Dew PointF,59
2012-04-26,Min TemperatureF,43
2012-04-26, Mean Humidity,68
2012-04-26,MeanDew PointF,50
2012-04-26,Max Humidity,90
2012-04-26, Mean Sea Level PressureIn,29.78
2012-04-26, Max Sea Level PressureIn,30.05
2012-04-26, Mean VisibilityMiles,10
2012-04-26, Max VisibilityMiles,10
2012-04-26,Min DewpointF,29
2012-04-26, WindDirDegrees,331
2012-04-26, Min Humidity,46
2012-04-26, Max Gust SpeedMPH,29.0
2012-04-26,Max TemperatureF,75
2012-04-27, Mean Humidity,43
2012-04-27, Min VisibilityMiles,10
2012-04-27,Min TemperatureF,36
2012-04-27,Mean TemperatureF,50
2012-04-27, CloudCover,0
2012-04-27, Min Sea Level PressureIn,30.03
2012-04-27,Max Humidity,64
2012-04-27,PrecipitationIn,T
2012-04-27, Mean Sea Level PressureIn,30.13
2012-04-27, Max Wind SpeedMPH,16
2012-04-27, WindDirDegrees,69
2012-04-27,Max TemperatureF,63
2012-04-27,MeanDew PointF,25
2012-04-27, Max Sea Level PressureIn,30.22
2012-04-27,Min DewpointF,21
2012-04-27,Max Dew PointF,30
2012-04-27, Mean Wind SpeedMPH,9
2012-04-27, Events,Rain
2012-04-27, Min Humidity,21
2012-04-27, Mean VisibilityMiles,10
2012-04-27, Max VisibilityMiles,10
2012-04-27, Max Gust SpeedMPH,22.0
2012-04-28, Mean Sea Level PressureIn,30.02
2012-04-28, Max Wind SpeedMPH,26
2012-04-28, CloudCover,7
2012-04-28, Mean Humidity,71
2012-04-28, Max Sea Level PressureIn,30.13
2012-04-28, Mean VisibilityMiles,8
2012-04-28, Max Gust SpeedMPH,33.0
2012-04-28,Max TemperatureF,63
2012-04-28,PrecipitationIn,0.49
2012-04-28, Min Sea Level PressureIn,29.96
2012-04-28,Mean TemperatureF,56
2012-04-28,Min DewpointF,30
2012-04-28, Min VisibilityMiles,2
2012-04-28, Min Humidity,41
2012-04-28, WindDirDegrees,96
2012-04-28,Max Humidity,100
2012-04-28,Min TemperatureF,48
2012-04-28, Events,Rain-Thunderstorm
2012-04-28,Max Dew PointF,50
2012-04-28, Max VisibilityMiles,10
2012-04-28,MeanDew PointF,45
2012-04-28, Mean Wind SpeedMPH,11
2012-04-29, Min Sea Level PressureIn,30.04
2012-04-29, Mean VisibilityMiles,9
2012-04-29, Max Wind SpeedMPH,14
2012-04-29,MeanDew PointF,48
2012-04-29,Max TemperatureF,68
2012-04-29,Max Humidity,93
2012-04-29,PrecipitationIn,0.00
2012-04-29, Max Sea Level PressureIn,30.17
2012-04-29, Mean Wind SpeedMPH,8
2012-04-29, Max VisibilityMiles,10
2012-04-29,Min DewpointF,40
2012-04-29, Min Humidity,63
2012-04-29,Min TemperatureF,46
2012-04-29,Max Dew PointF,56
2012-04-29, Mean Humidity,78
2012-04-29, Max Gust SpeedMPH,17.0
2012-04-29,Mean TemperatureF,57
2012-04-29, Mean Sea Level PressureIn,30.1
2012-04-29, Min VisibilityMiles,5
2012-04-29, CloudCover,4
2012-04-29, WindDirDegrees,97
2012-04-29, Events,Rain
2012-04-30,Max Dew PointF,64
2012-04-30, Max Wind SpeedMPH,22
2012-04-30,Max TemperatureF,81
2012-04-30, Min Humidity,52
2012-04-30, Max Gust SpeedMPH,26.0
2012-04-30, Mean VisibilityMiles,8
2012-04-30, WindDirDegrees,239
2012-04-30,Min DewpointF,54
2012-04-30,MeanDew PointF,61
2012-04-30,Max Humidity,93
2012-04-30, Mean Humidity,73
2012-04-30, Mean Wind SpeedMPH,7
2012-04-30,Min TemperatureF,57
2012-04-30, Mean Sea Level PressureIn,29.96
2012-04-30, Max Sea Level PressureIn,30.04
2012-04-30, Events,Rain-Thunderstorm
2012-04-30, Max VisibilityMiles,10
2012-04-30,PrecipitationIn,0.29
2012-04-30, CloudCover,5
2012-04-30, Min Sea Level PressureIn,29.89
2012-04-30,Mean TemperatureF,69
2012-05-01, Events,Fog-Rain-Thunderstorm
2012-05-01, Max Sea Level PressureIn,30.03
2012-05-01,MeanDew PointF,63
2012-05-01, Max Gust SpeedMPH,44.0
2012-05-01, Max Wind SpeedMPH,26
2012-05-01,Min DewpointF,57
2012-05-01,Max Dew PointF,70
2012-05-01, Min Humidity,79
2012-05-01, Mean Wind SpeedMPH,6
2012-05-01, Mean VisibilityMiles,6
2012-05-01,Mean TemperatureF,69
2012-05-01,PrecipitationIn,0.86
2012-05-01, Mean Sea Level PressureIn,29.96
2012-05-01, Min VisibilityMiles,0
2012-05-01, CloudCover,6
2012-05-01,Min TemperatureF,59
2012-05-01,Max Humidity,100
2012-05-01,Max TemperatureF,79
2012-05-01, Mean Humidity,90
2012-05-01, WindDirDegrees,189
2012-05-01, Min Sea Level PressureIn,29.84
2012-05-01, Max VisibilityMiles,10
2012-05-02,Max Humidity,78
2012-05-02,Min DewpointF,60
2012-05-02, Max Gust SpeedMPH,31.0
2012-05-02, Mean Humidity,60
2012-05-02,Max TemperatureF,87
2012-05-02, Min VisibilityMiles,5
2012-05-02, Min Sea Level PressureIn,29.88
2012-05-02,Min TemperatureF,69
2012-05-02,Max Dew PointF,66
2012-05-02, Mean Sea Level PressureIn,29.94
2012-05-02, Max Wind SpeedMPH,22
2012-05-02,MeanDew PointF,63
2012-05-02, Max VisibilityMiles,10
2012-05-02, WindDirDegrees,217
2012-05-02, Min Humidity,42
2012-05-02,Mean TemperatureF,78
2012-05-02,PrecipitationIn,0.00
2012-05-02, Mean VisibilityMiles,10
2012-05-02, Max Sea Level PressureIn,30.0
2012-05-02, Mean Wind SpeedMPH,11
2012-05-03, Max VisibilityMiles,10
2012-05-03,MeanDew PointF,61
2012-05-03,Min TemperatureF,62
2012-05-03, Min Humidity,42
2012-05-03,Max Humidity,93
2012-05-03, CloudCover,0
2012-05-03, Min Sea Level PressureIn,29.94
2012-05-03, Min VisibilityMiles,8
2012-05-03, Mean Sea Level PressureIn,29.99
2012-05-03,Max TemperatureF,86
2012-05-03, Mean Wind SpeedMPH,10
2012-05-03, WindDirDegrees,201
2012-05-03,PrecipitationIn,0.00
2012-05-03, Mean Humidity,68
2012-05-03, Max Gust SpeedMPH,29.0
2012-05-03, Max Wind SpeedMPH,22
2012-05-03,Mean TemperatureF,74
2012-05-03,Max Dew PointF,64
2012-05-03, Max Sea Level PressureIn,30.06
2012-05-03,Min DewpointF,57
2012-05-03, Mean VisibilityMiles,10
2012-05-04, WindDirDegrees,209
2012-05-04,Max TemperatureF,80
2012-05-04,PrecipitationIn,0.09
2012-05-04, Events,Rain-Thunderstorm
2012-05-04,Max Dew PointF,68
2012-05-04, Max VisibilityMiles,10
2012-05-04, CloudCover,6
2012-05-04,MeanDew PointF,65
2012-05-04,Max Humidity,93
2012-05-04,Min TemperatureF,64
2012-05-04, Max Sea Level PressureIn,30.03
2012-05-04,Min DewpointF,60
2012-05-04, Max Gust SpeedMPH,24.0
2012-05-04,Mean TemperatureF,72
2012-05-04, Max Wind SpeedMPH,17
2012-05-04, Mean Humidity,78
2012-05-04, Min Sea Level PressureIn,29.87
2012-05-04, Mean Wind SpeedMPH,7
2012-05-04, Min Humidity,62
2012-05-04, Mean Sea Level PressureIn,29.94
2012-05-04, Mean VisibilityMiles,9
2012-05-04, Min VisibilityMiles,5
2012-05-05, WindDirDegrees,144
2012-05-05, Max Gust SpeedMPH,14.0
2012-05-05, Events,Fog-Rain-Thunderstorm
2012-05-05, Mean Wind SpeedMPH,2
2012-05-05,Max Dew PointF,67
2012-05-05, Max Wind SpeedMPH,9
2012-05-05,Max TemperatureF,86
2012-05-05, Mean Sea Level PressureIn,29.91
2012-05-05,Mean TemperatureF,74
2012-05-05, Min VisibilityMiles,0
2012-05-05, Mean Humidity,74
2012-05-05, Min Sea Level PressureIn,29.87
2012-05-05,PrecipitationIn,0.00
2012-05-05, CloudCover,3
2012-05-05,Min DewpointF,62
2012-05-05, Max Sea Level PressureIn,29.97
2012-05-05, Mean VisibilityMiles,6
2012-05-05,Max Humidity,100
2012-05-05, Min Humidity,48
2012-05-05,MeanDew PointF,64
2012-05-05,Min TemperatureF,62
2012-05-05, Max VisibilityMiles,10
2012-05-06,Max TemperatureF,86
2012-05-06, Min Sea Level PressureIn,29.86
2012-05-06, Max VisibilityMiles,10
2012-05-06,PrecipitationIn,0.00
2012-05-06, Min VisibilityMiles,2
2012-05-06,Max Humidity,93
2012-05-06,Max Dew PointF,68
2012-05-06, Min Humidity,51
2012-05-06, WindDirDegrees,136
2012-05-06,MeanDew PointF,64
2012-05-06,Mean TemperatureF,75
2012-05-06, Mean Wind SpeedMPH,6
2012-05-06, Mean VisibilityMiles,8
2012-05-06, CloudCover,0
2012-05-06, Max Gust SpeedMPH,16.0
2012-05-06, Mean Sea Level PressureIn,29.94
2012-05-06,Min DewpointF,61
2012-05-06, Max Sea Level PressureIn,30.0
2012-05-06,Min TemperatureF,63
2012-05-06, Mean Humidity,72
2012-05-06, Max Wind SpeedMPH,13
2012-05-07, Max Gust SpeedMPH,35.0
2012-05-07,Max Dew PointF,67
2012-05-07, Max VisibilityMiles,10
2012-05-07,Max Humidity,100
2012-05-07,Min TemperatureF,64
2012-05-07, Events,Rain-Thunderstorm
2012-05-07, WindDirDegrees,165
2012-05-07, Mean Sea Level PressureIn,29.82
2012-05-07, Min Sea Level PressureIn,29.75
2012-05-07, Min Humidity,54
2012-05-07,Mean TemperatureF,74
2012-05-07, CloudCover,5
2012-05-07,Max TemperatureF,83
2012-05-07,PrecipitationIn,0.90
2012-05-07, Mean VisibilityMiles,8
2012-05-07, Mean Wind SpeedMPH,4
2012-05-07, Mean Humidity,77
2012-05-07, Max Sea Level PressureIn,29.86
2012-05-07,Min DewpointF,60
2012-05-07,MeanDew PointF,64
2012-05-07, Max Wind SpeedMPH,25
2012-05-08,Max Dew PointF,64
2012-05-08, Max Sea Level PressureIn,29.91
2012-05-08, Mean Sea Level PressureIn,29.86
2012-05-08, CloudCover,4
2012-05-08,PrecipitationIn,T
2012-05-08, Min VisibilityMiles,5
2012-05-08, WindDirDegrees,314
2012-05-08, Events,Rain
2012-05-08,Min DewpointF,44
2012-05-08,MeanDew PointF,56
2012-05-08, Mean Humidity,68
2012-05-08, Max Gust SpeedMPH,20.0
2012-05-08, Mean Wind SpeedMPH,5
2012-05-08, Max VisibilityMiles,10
2012-05-08,Max TemperatureF,74
2012-05-08, Min Humidity,38
2012-05-08,Min TemperatureF,55
2012-05-08, Max Wind SpeedMPH,15
2012-05-08,Mean TemperatureF,65
2012-05-08,Max Humidity,97
2012-05-08, Mean VisibilityMiles,8
2012-05-08, Min Sea Level PressureIn,29.81
2012-05-09, Max Wind SpeedMPH,22
2012-05-09, Min Humidity,42
2012-05-09, Mean Humidity,68
2012-05-09,Max Dew PointF,49
2012-05-09, Min Sea Level PressureIn,29.84
2012-05-09, Mean Sea Level PressureIn,29.89
2012-05-09, Mean Wind SpeedMPH,6
2012-05-09, Events,Rain
2012-05-09, Max Gust SpeedMPH,30.0
2012-05-09,Min TemperatureF,48
2012-05-09,Max Humidity,93
2012-05-09,MeanDew PointF,46
2012-05-09, Max Sea Level PressureIn,29.92
2012-05-09, CloudCover,3
2012-05-09,PrecipitationIn,0.02
2012-05-09,Min DewpointF,41
2012-05-09, WindDirDegrees,307
2012-05-09, Max VisibilityMiles,10
2012-05-09,Max TemperatureF,68
2012-05-09,Mean TemperatureF,58
2012-05-09, Mean VisibilityMiles,10
2012-05-09, Min VisibilityMiles,6
2012-05-10, Mean Humidity,64
2012-05-10, Min VisibilityMiles,7
2012-05-10,Min TemperatureF,41
2012-05-10,Max Dew PointF,46
2012-05-10, Max Wind SpeedMPH,13
2012-05-10,Max Humidity,96
2012-05-10, Min Humidity,31
2012-05-10, Mean VisibilityMiles,10
2012-05-10, Max Sea Level PressureIn,30.04
2012-05-10, Max Gust SpeedMPH,18.0
2012-05-10, Mean Wind SpeedMPH,3
2012-05-10,Min DewpointF,37
2012-05-10,PrecipitationIn,0.00
2012-05-10,Mean TemperatureF,56
2012-05-10, WindDirDegrees,347
2012-05-10, Max VisibilityMiles,10
2012-05-10,MeanDew PointF,41
2012-05-10, Mean Sea Level PressureIn,29.98
2012-05-10, Min Sea Level PressureIn,29.92
2012-05-10,Max TemperatureF,70
2012-05-11, Mean VisibilityMiles,10
2012-05-11,PrecipitationIn,0.00
2012-05-11, Min Sea Level PressureIn,30.05
2012-05-11, WindDirDegrees,163
2012-05-11, Min VisibilityMiles,9
2012-05-11, CloudCover,0
2012-05-11, Min Humidity,31
2012-05-11, Max VisibilityMiles,10
2012-05-11, Max Gust SpeedMPH,13.0
2012-05-11,Mean TemperatureF,59
2012-05-11, Mean Humidity,64
2012-05-11, Max Wind SpeedMPH,9
2012-05-11,Max TemperatureF,75
2012-05-11,Max Humidity,96
2012-05-11,MeanDew PointF,44
2012-05-11,Max Dew PointF,52
2012-05-11,Min TemperatureF,42
2012-05-11, Mean Wind SpeedMPH,3
2012-05-11, Mean Sea Level PressureIn,30.13
2012-05-11,Min DewpointF,39
2012-05-11, Max Sea Level PressureIn,30.17
2012-05-12,Max Dew PointF,54
2012-05-12,Max Humidity,96
2012-05-12,Max TemperatureF,73
2012-05-12, Mean Wind SpeedMPH,2
2012-05-12, Min VisibilityMiles,10
2012-05-12,Min DewpointF,43
2012-05-12,PrecipitationIn,0.00
2012-05-12, Min Sea Level PressureIn,30.16
2012-05-12, Max Sea Level PressureIn,30.24
2012-05-12, Mean VisibilityMiles,10
2012-05-12, Mean Sea Level PressureIn,30.19
2012-05-12,Min TemperatureF,51
2012-05-12,MeanDew PointF,49
2012-05-12, Max Wind SpeedMPH,8
2012-05-12, Max Gust SpeedMPH,10.0
2012-05-12,Mean TemperatureF,62
2012-05-12, Max VisibilityMiles,10
2012-05-12, WindDirDegrees,144
2012-05-12, Mean Humidity,65
2012-05-12, Min Humidity,33
2012-05-13, Max Wind SpeedMPH,18
2012-05-13, Min Humidity,44
2012-05-13,Max Dew PointF,58
2012-05-13,Min TemperatureF,55
2012-05-13,Mean TemperatureF,64
2012-05-13, Min VisibilityMiles,9
2012-05-13, Mean Humidity,69
2012-05-13, Max VisibilityMiles,10
2012-05-13,PrecipitationIn,0.00
2012-05-13,MeanDew PointF,55
2012-05-13, Mean Wind SpeedMPH,6
2012-05-13,Max Humidity,93
2012-05-13, Mean Sea Level PressureIn,30.1
2012-05-13, CloudCover,4
